□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,
계약일자 : 20190301 ~ 20190331,,,,,,,,,,,,,,
실거래구분 : 아파트(매매),,,,,,,,,,,,,,
주소구분 : 도로명주소,,,,,,,,,,,,,,
시도 : 전체,,,,,,,,,,,,,,
시군구 : 전체,,,,,,,,,,,,,,
도로명 : 전체,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
강원도 강릉시 주문진읍 주문리,329-19,329,19,강릉주문진풍림아이원하버뷰,59.76,201903,8,"19,000",11,2019,항구로 40,,-,-
강원도 강릉시 주문진읍 주문리,329-19,329,19,강릉주문진풍림아이원하버뷰,59.76,201903,11,"18,050",15,2019,항구로 40,,-,-
강원도 강릉시 주문진읍 주문리,329-19,329,19,강릉주문진풍림아이원하버뷰,59.76,201903,16,"16,790",5,2019,항구로 40,,-,-
강원도 강릉시 주문진읍 주문리,329-19,329,19,강릉주문진풍림아이원하버뷰,59.76,201903,18,"18,100",14,2019,항구로 40,,-,-
강원도 강릉시 주문진읍 주문리,61,61,0,주문진라일플로리스4차,21.305,201903,3,"9,500",5,2017,오리나루2길 25,,-,-
강원도 강릉시 주문진읍 주문리,61,61,0,주문진라일플로리스4차,23.662,201903,13,"9,100",13,2017,오리나루2길 25,,-,-
강원도 강릉시 주문진읍 주문리,61,61,0,주문진라일플로리스4차,45.6995,201903,27,"13,000",11,2017,오리나루2길 25,,-,-
강원도 강릉시 주문진읍 주문리,1585,1585,0,케이티레파트더블루힐,59.33,201903,4,"4,789",14,2007,주문북로 147-32,,-,-
강원도 강릉시 주문진읍 주문리,311-1,311,1,현대프라자,68.58,201903,19,"13,500",9,1995,주문로 144,,-,-
강원도 강릉시 지변동,334,334,0,덕원임대,33.471,201903,3,"4,850",9,1998,죽헌길85번길 25,,-,-
강원도 강릉시 초당동,149-1,149,1,동부,84.98,201903,5,"17,000",14,1997,연당길 75,,-,-
강원도 강릉시 초당동,149-1,149,1,동부,59.84,201903,25,"11,200",1,1997,연당길 75,,-,-
강원도 강릉시 초당동,143,143,0,우성,84.77,201903,1,"13,000",15,1997,연당길 67-15,,-,-
강원도 강릉시 초당동,143,143,0,우성,59.91,201903,3,"13,000",4,1997,연당길 67-15,,-,-
강원도 강릉시 초당동,181,181,0,유화2,44.7,201903,29,"7,100",4,1994,연당길 94-6,,-,-
강원도 강릉시 초당동,155,155,0,유화3,45.68,201903,4,"6,500",2,1996,연당길 82,,-,-
강원도 강릉시 초당동,155,155,0,유화3,45.68,201903,7,"7,500",2,1996,연당길 82,,-,-
강원도 강릉시 초당동,155,155,0,유화3,45.68,201903,10,"6,600",3,1996,연당길 82,,-,-
강원도 강릉시 초당동,135-1,135,1,이화해변아파트(B~D동),29.82,201903,1,"4,200",2,1988,초당원길 21,,-,-
강원도 강릉시 초당동,135-1,135,1,이화해변아파트(B~D동),29.82,201903,2,"4,600",4,1988,초당원길 21,,-,-
강원도 강릉시 초당동,128,128,0,현대,59.875,201903,6,"10,300",3,1995,초당원길 26-2,,-,-
강원도 강릉시 초당동,128,128,0,현대,124.28,201903,22,"17,000",4,1995,초당원길 26-2,,-,-
강원도 강릉시 포남동,1183-4,1183,4,강릉7(1183-4),81.28,201903,5,"13,900",2,1990,경강로2301번길 22,,-,-
강원도 강릉시 포남동,422-3,422,3,대인4,128.25,201903,27,"15,000",2,1995,강릉대로469번길 14,,-,-
강원도 강릉시 포남동,1005-248,1005,248,동남,54.945,201903,7,"6,000",1,1985,경강로2256번길 12,,-,-
강원도 강릉시 포남동,898-17,898,17,삼우골든맨션,114.33,201903,20,"20,500",2,1991,용지각길20번길 8,,-,-
강원도 강릉시 포남동,1125,1125,0,세화상가,57.66,201903,31,"4,700",5,1994,경강로2223번길 15,,-,-
강원도 강릉시 포남동,1293-1,1293,1,일송,59.135,201903,4,"10,500",3,1995,하평3길 37,,-,-
강원도 강릉시 포남동,1293-1,1293,1,일송,59.135,201903,4,"12,000",12,1995,하평3길 37,,-,-
강원도 강릉시 포남동,1293-1,1293,1,일송,59.135,201903,9,"11,800",12,1995,하평3길 37,,-,-
강원도 강릉시 포남동,1293-1,1293,1,일송,59.135,201903,17,"10,200",3,1995,하평3길 37,,-,-
강원도 강릉시 포남동,1293-1,1293,1,일송,59.135,201903,18,"11,400",11,1995,하평3길 37,,-,-
강원도 강릉시 포남동,1293-1,1293,1,일송,59.135,201903,20,"10,200",5,1995,하평3길 37,,-,-
