,코드,시도,시군구,읍면동,하위,위도,경도,코드종류
227,1147056000,서울특별시,양천구,신월1동,,37.532815,126.83153,H
228,1147057000,서울특별시,양천구,신월2동,,37.52497,126.844572,H
229,1147058000,서울특별시,양천구,신월3동,,37.533674,126.82905,H
230,1147059000,서울특별시,양천구,신월4동,,37.524619,126.840063,H
231,1147060000,서울특별시,양천구,신월5동,,37.538566,126.827186,H
232,1147061000,서울특별시,양천구,신월6동,,37.516265,126.843631,H
233,1147061100,서울특별시,양천구,신월7동,,37.521756,126.834791,H
234,1147062000,서울특별시,양천구,신정1동,,37.51855,126.854354,H
235,1147063000,서울특별시,양천구,신정2동,,37.519267,126.870723,H
236,1147064000,서울특별시,양천구,신정3동,,37.515086,126.854859,H
237,1147065000,서울특별시,양천구,신정4동,,37.523422,126.85868,H
238,1147067000,서울특별시,양천구,신정6동,,37.517053,126.864399,H
239,1147068000,서울특별시,양천구,신정7동,,37.514412,126.8597,H
240,1150051000,서울특별시,강서구,염창동,,37.554552,126.871764,H
241,1150052000,서울특별시,강서구,등촌1동,,37.550968,126.849614,H
242,1150053000,서울특별시,강서구,등촌2동,,37.550968,126.849614,H
243,1150053500,서울특별시,강서구,등촌3동,,37.550968,126.849614,H
244,1150054000,서울특별시,강서구,화곡1동,,37.550968,126.849614,H
245,1150055000,서울특별시,강서구,화곡2동,,37.550968,126.849614,H
246,1150056000,서울특별시,강서구,화곡3동,,37.550968,126.849614,H
247,1150057000,서울특별시,강서구,화곡4동,,37.550968,126.849614,H
248,1150059000,서울특별시,강서구,화곡본동,,37.544092,126.847626,H
249,1150059100,서울특별시,강서구,화곡6동,,37.550968,126.849614,H
250,1150059300,서울특별시,강서구,화곡8동,,37.550968,126.849614,H
251,1150060300,서울특별시,강서구,가양1동,,37.550968,126.849614,H
252,1150060400,서울특별시,강서구,가양2동,,37.550968,126.849614,H
253,1150060500,서울특별시,강서구,가양3동,,37.550968,126.849614,H
254,1150061100,서울특별시,강서구,발산1동,,37.550968,126.849614,H
255,1150061500,서울특별시,강서구,우장산동,,37.548198,126.841792,H
256,1150062000,서울특별시,강서구,공항동,,37.554779,126.810453,H
257,1150063000,서울특별시,강서구,방화1동,,37.550968,126.849614,H
258,1150064000,서울특별시,강서구,방화2동,,37.550968,126.849614,H
259,1150064100,서울특별시,강서구,방화3동,,37.550968,126.849614,H
260,1153051000,서울특별시,구로구,신도림동,,37.509951,126.882174,H
261,1153052000,서울특별시,구로구,구로1동,,37.49565,126.887771,H
262,1153053000,서울특별시,구로구,구로2동,,37.49565,126.887771,H
263,1153054000,서울특별시,구로구,구로3동,,37.49565,126.887771,H
264,1153055000,서울특별시,구로구,구로4동,,37.49565,126.887771,H
265,1153056000,서울특별시,구로구,구로5동,,37.49565,126.887771,H
266,1153059500,서울특별시,구로구,가리봉동,,37.482704,126.888019,H
267,1153072000,서울특별시,구로구,고척1동,,37.49565,126.887771,H
268,1153073000,서울특별시,구로구,고척2동,,37.49565,126.887771,H
269,1153074000,서울특별시,구로구,개봉1동,,37.49565,126.887771,H
270,1153075000,서울특별시,구로구,개봉2동,,37.49565,126.887771,H
271,1153076000,서울특별시,구로구,개봉3동,,37.49565,126.887771,H
272,1153077000,서울특별시,구로구,오류1동,,37.49565,126.887771,H
273,1153078000,서울특별시,구로구,오류2동,,37.49565,126.887771,H
274,1153079000,서울특별시,구로구,수궁동,,37.493837,126.831527,H
