,Title,Location,Scale,Date_start,Date_finish,Size_one,Size_two,Price_one,Price_two
122,창원현동 A-2BL 10년 분양전환 공공임대주택,경상남도 창원시 마산합포구 현동310,809세대,2022-04-08,2022-04-12,72.718,82.5999,"7,332","8,490"
123,광주 선운2지구 예다음(사전청약),광주광역시 광산구 운수동 선운2지구 B-2BL,505세대,2022-04-08,2022-04-13,110.8807,112.2709,"47,155","47,746"
124,양주 회천지구 A-12BL 라온프라이빗(사전청약),경기도 양주시 양주회천지구 A12BL,568세대,2022-04-08,2022-04-12,109.9256,109.6654,"41,972","41,114"
125,인천 가정2지구 B2블록 우미 린(사전청약),인천광역시 서구 가정동 인천가정2 공공주택지구 내 B-2BL,278세대,2022-04-08,2022-04-13,109.9154,110.1739,"58,940","57,000"
126,파주 운정3지구 제일풍경채 A46BL(사전청약),경기도 파주시 동패동 415(운정3지구 A46BL)일원,345세대,2022-04-08,2022-04-12,110.9771,111.9917,"50,950","51,200"
127,평택 고덕국제신도시 A-50블록(사전청약),경기도 평택시 고덕택지개발지구 A-50BL,578세대,2022-04-08,2022-04-12,109.0121,127.8599,"49,569","57,569"
128,검단역 금강펜테리움 더 시글로 2차,인천광역시 서구 검단신도시 RC4BL 주상복합용지,483세대,2022-04-11,2022-04-13,115.2314,115.2855,"50,700","49,800"
129,문수로 푸르지오 어반피스,울산광역시 남구 신정동 1266-6번지 일원,339세대,2022-04-11,2022-04-14,115.6016,215.8743,"84,700","177,860"
130,인천 신흥동 3가 숭의역 엘크루,인천광역시 중구 신흥동3가 7-79 외 25필지,72세대,2022-04-11,2022-04-14,87.5671,121.7747,"37,773","52,529"
131,파주운정신도시 디에트르 에듀타운(A38BL),경기도 파주시 다율동 A38BL,489세대,2022-04-11,2022-04-13,116.6353,143.4482,"51,910","60,323"
132,화성 비봉 B-4BL 우미린,경기도 화성시 비봉면 삼화리 500,798세대,2022-04-11,2022-04-13,111.7345,113.0194,"39,300","38,560"
133,화성 비봉지구 B3블록 예미지 센트럴에듀,경기도 화성시 비봉면 삼화리 473,917세대,2022-04-11,2022-04-13,101.1086,111.3229,"33,230","38,922"
134,힐스테이트 검단 웰카운티(공공분양주택),인천광역시 서구 불로동 116(검단신도시 AA16BL),1073세대,2022-04-11,2022-04-13,96.8292,108.9002,"40,100","44,200"
135,힐스테이트 검단 웰카운티(민영주택),인천광역시 서구 불로동 116(검단신도시 AA16BL),462세대,2022-04-11,2022-04-13,127.3991,163.0805,"53,800","85,400"
136,김해 진례지구 C-2BL 디에트르(사전청약),경상남도 김해시 진례면 송정리 513-2 일원,502세대,2022-04-11,2022-04-13,110.1291,110.4187,"39,263","36,463"
137,파주 운정신도시 A49블록 시티프라디움 (사전청약),경기도 파주시 운정신도시 A49블록,438세대,2022-04-11,2022-04-13,79.9461,111.442,"33,841","47,174"
138,리더스시티 5블록,"대전광역시 동구 천동 228-9일대 (천동, 판암동 일원) 천동3구역 주거환경개선사업지구 내 5블록",1192세대,2022-04-18,2022-04-21,81.4839,113.8213,"29,345","39,631"
139,브라운스톤 인터포레,경기도 동두천시 생연동 284번지 일원,320세대,2022-04-18,2022-04-21,69.8403,98.3736,"24,270","32,670"
140,아산 벨코어 스위첸,충청남도 아산시 모종동 555-1외,299세대,2022-04-18,2022-04-20,115.8816,126.2293,"46,000","49,500"
141,안성 공도 센트럴카운티 에듀파크,경기도 안성시 공도읍 용두리 522-4번지 일원,433세대,2022-04-18,2022-04-21,111.1699,110.9442,"43,720","43,720"
142,힐스테이트 세운 센트럴 1단지,서울특별시 중구 입정동 189-1번지 일원,165세대,2022-04-18,2022-04-21,61.5097,88.5013,"65,430","99,920"
143,힐스테이트 세운 센트럴 2단지,서울특별시 중구 입정동 2-4번지 일원,264세대,2022-04-18,2022-04-21,62.4006,93.0957,"61,990","101,150"
144,힐스테이트 창원 더퍼스트,경상남도 창원시 성산구 내동 산33-1 일원,1779세대,2022-04-18,2022-04-21,114.654,170.3786,"52,100","77,400"
145,엘리프 송촌 더 파크,대전광역시 대덕구 송촌동 산25-6번지 일원,799세대,2022-04-19,2022-04-22,109.4931,142.9264,"45,690","57,850"
146,군산 신역세권 한라비발디 센트로,전라북도 군산시 내흥동 926,878세대,2022-04-25,2022-04-27,98.7588,110.5159,"29,300","32,900"
147,더샵 리듬시티,경기도 의정부시 복합문화융합단지 내 공동 1블럭 (산곡동 399번지 일원),536세대,2022-04-25,2022-04-28,80.0108,110.1393,"35,300","49,900"
148,무안 승원팰리체 더클래스,전라남도 무안군 무안읍 성남리 327-1번지 외 5필지,83세대,2022-04-26,2022-04-28,102.4811,184.5254,"33,800","59,800"
149,광안 스윗팰리스,부산광역시 수영구 광안동 74-5번지 외 2필지,71세대,2022-04-29,2022-05-04,51.35,72.47,"29,000","39,800"
150,e편한세상 시흥장현 퍼스트베뉴,경기도 시흥시 시흥장현공공주택지구 B-10블록,431세대,2022-05-02,2022-05-04,109.8893,109.4487,"48,486","46,161"
151,남악 오룡지구 36BL 남악오룡 시티프라디움,전라남도 무안군 일로읍 남악신도시 오룡택지지구 36BL,534세대,2022-05-02,2022-05-04,110.3267,110.323,"39,940","39,940"
152,서충주 푸르지오 더 퍼스트,충청북도 충주시 주덕읍 화곡리 1111번지 일원(충주기업도시 주상1블록),1029세대,2022-05-02,2022-05-04,102.8053,171.0907,"30,800","63,300"
153,센텀 아스트룸 SK VIEW,부산광역시 해운대구 반여동 1349번지 일원,544세대,2022-05-02,2022-05-06,79.7089,112.4709,"45,300","64,900"
